  Nelder-Mead direct search function minimizer
function value for initial parameters = 186281.910279
  Scaled convergence tolerance is 0.00277582
Stepsize computed as 0.299573
LO-REDUCTION     897 65671.503814 65670.585978
LO-REDUCTION     899 65671.496808 65670.585978
HI-REDUCTION     901 65671.430621 65670.585978
LO-REDUCTION     903 65671.248955 65670.585978
LO-REDUCTION     905 65671.202395 65670.585978
EXTENSION        907 65671.124699 65670.355760
LO-REDUCTION     909 65671.122419 65670.355760
LO-REDUCTION     911 65671.043157 65670.355760
EXTENSION        913 65671.026769 65670.293801
LO-REDUCTION     915 65670.990622 65670.293801
EXTENSION        917 65670.984826 65669.902712
LO-REDUCTION     919 65670.842601 65669.902712
LO-REDUCTION     921 65670.780223 65669.902712
LO-REDUCTION     923 65670.705012 65669.902712
LO-REDUCTION     925 65670.699159 65669.902712
LO-REDUCTION     927 65670.679670 65669.902712
LO-REDUCTION     929 65670.651079 65669.902712
LO-REDUCTION     931 65670.642405 65669.902712
LO-REDUCTION     933 65670.587564 65669.902712
LO-REDUCTION     935 65670.585978 65669.902712
LO-REDUCTION     937 65670.585367 65669.902712
LO-REDUCTION     939 65670.541283 65669.902712
EXTENSION        941 65670.441120 65669.562253
LO-REDUCTION     943 65670.414724 65669.562253
LO-REDUCTION     945 65670.355760 65669.562253
LO-REDUCTION     947 65670.293801 65669.562253
LO-REDUCTION     949 65670.292261 65669.562253
LO-REDUCTION     951 65670.279985 65669.562253
LO-REDUCTION     953 65670.269968 65669.562253
LO-REDUCTION     955 65670.227029 65669.562253
LO-REDUCTION     957 65670.217011 65669.562253
LO-REDUCTION     959 65670.135930 65669.562253
LO-REDUCTION     961 65670.107728 65669.562253
LO-REDUCTION     963 65670.061293 65669.562253
EXTENSION        965 65670.046394 65669.388415
LO-REDUCTION     967 65670.025444 65669.388415
EXTENSION        969 65670.002966 65669.193871
LO-REDUCTION     971 65670.001075 65669.193871
EXTENSION        973 65669.902712 65668.805271
LO-REDUCTION     975 65669.841329 65668.805271
LO-REDUCTION     977 65669.836331 65668.805271
LO-REDUCTION     979 65669.801485 65668.805271
LO-REDUCTION     981 65669.703322 65668.805271
LO-REDUCTION     983 65669.667024 65668.805271
LO-REDUCTION     985 65669.661132 65668.805271
LO-REDUCTION     987 65669.586993 65668.805271
EXTENSION        989 65669.583966 65668.679449
LO-REDUCTION     991 65669.562253 65668.679449
LO-REDUCTION     993 65669.437596 65668.679449
EXTENSION        995 65669.388415 65668.617076
REFLECTION       997 65669.291500 65668.589217
LO-REDUCTION     999 65669.280452 65668.589217
EXTENSION       1001 65669.242416 65668.424649
LO-REDUCTION    1003 65669.193871 65668.424649
EXTENSION       1005 65669.086366 65668.104921
LO-REDUCTION    1007 65669.002778 65668.104921
EXTENSION       1009 65668.993047 65667.876527
LO-REDUCTION    1011 65668.894459 65667.876527
LO-REDUCTION    1013 65668.880658 65667.876527
LO-REDUCTION    1015 65668.812610 65667.876527
LO-REDUCTION    1017 65668.805271 65667.876527
LO-REDUCTION    1019 65668.741646 65667.876527
LO-REDUCTION    1021 65668.684527 65667.876527
LO-REDUCTION    1023 65668.679449 65667.876527
LO-REDUCTION    1025 65668.617076 65667.876527
EXTENSION       1027 65668.589217 65667.620676
LO-REDUCTION    1029 65668.508730 65667.620676
LO-REDUCTION    1031 65668.460734 65667.620676
EXTENSION       1033 65668.424649 65667.290285
LO-REDUCTION    1035 65668.335868 65667.290285
LO-REDUCTION    1037 65668.271809 65667.290285
LO-REDUCTION    1039 65668.249008 65667.290285
LO-REDUCTION    1041 65668.218027 65667.290285
LO-REDUCTION    1043 65668.173471 65667.290285
LO-REDUCTION    1045 65668.151576 65667.290285
LO-REDUCTION    1047 65668.104921 65667.290285
LO-REDUCTION    1049 65668.071617 65667.290285
EXTENSION       1051 65668.032704 65667.154234
LO-REDUCTION    1053 65667.910513 65667.154234
LO-REDUCTION    1055 65667.876527 65667.154234
LO-REDUCTION    1057 65667.855623 65667.154234
EXTENSION       1059 65667.846809 65666.933697
EXTENSION       1061 65667.778596 65666.467275
LO-REDUCTION    1063 65667.620676 65666.467275
LO-REDUCTION    1065 65667.539760 65666.467275
LO-REDUCTION    1067 65667.530776 65666.467275
LO-REDUCTION    1069 65667.450359 65666.467275
LO-REDUCTION    1071 65667.432524 65666.467275
LO-REDUCTION    1073 65667.399768 65666.467275
EXTENSION       1075 65667.361921 65666.181228
LO-REDUCTION    1077 65667.290285 65666.181228
LO-REDUCTION    1079 65667.253500 65666.181228
LO-REDUCTION    1081 65667.198781 65666.181228
LO-REDUCTION    1083 65667.164815 65666.181228
LO-REDUCTION    1085 65667.154234 65666.181228
EXTENSION       1087 65666.933697 65665.964152
LO-REDUCTION    1089 65666.834805 65665.964152
LO-REDUCTION    1091 65666.806313 65665.964152
LO-REDUCTION    1093 65666.806221 65665.964152
EXTENSION       1095 65666.803164 65665.499333
LO-REDUCTION    1097 65666.762641 65665.499333
LO-REDUCTION    1099 65666.747308 65665.499333
LO-REDUCTION    1101 65666.710781 65665.499333
EXTENSION       1103 65666.509771 65664.790302
LO-REDUCTION    1105 65666.467275 65664.790302
LO-REDUCTION    1107 65666.356519 65664.790302
LO-REDUCTION    1109 65666.294108 65664.790302
LO-REDUCTION    1111 65666.258988 65664.790302
LO-REDUCTION    1113 65666.209945 65664.790302
LO-REDUCTION    1115 65666.181228 65664.790302
LO-REDUCTION    1117 65666.051737 65664.790302
EXTENSION       1119 65666.036158 65664.484580
LO-REDUCTION    1121 65665.964152 65664.484580
LO-REDUCTION    1123 65665.745356 65664.484580
EXTENSION       1125 65665.671847 65663.989337
LO-REDUCTION    1127 65665.598846 65663.989337
LO-REDUCTION    1129 65665.505995 65663.989337
LO-REDUCTION    1131 65665.499333 65663.989337
LO-REDUCTION    1133 65665.481040 65663.989337
EXTENSION       1135 65665.124618 65662.933050
LO-REDUCTION    1137 65665.085838 65662.933050
LO-REDUCTION    1139 65665.078912 65662.933050
LO-REDUCTION    1141 65665.024916 65662.933050
LO-REDUCTION    1143 65665.007517 65662.933050
LO-REDUCTION    1145 65664.939074 65662.933050
LO-REDUCTION    1147 65664.790302 65662.933050
LO-REDUCTION    1149 65664.597795 65662.933050
LO-REDUCTION    1151 65664.484580 65662.933050
LO-REDUCTION    1153 65664.439064 65662.933050
EXTENSION       1155 65664.310125 65662.575757
LO-REDUCTION    1157 65664.249352 65662.575757
EXTENSION       1159 65664.152726 65661.637732
LO-REDUCTION    1161 65663.989337 65661.637732
LO-REDUCTION    1163 65663.973525 65661.637732
LO-REDUCTION    1165 65663.823425 65661.637732
LO-REDUCTION    1167 65663.524726 65661.637732
LO-REDUCTION    1169 65663.510251 65661.637732
EXTENSION       1171 65663.468080 65660.787716
LO-REDUCTION    1173 65663.262553 65660.787716
